Province/State,Country/Region,Confirmed,Deaths,Recovered,Measurement_Date
Anhui,Mainland China,1,NA,NA,2020-01-22
Beijing,Mainland China,14,NA,NA,2020-01-22
Chongqing,Mainland China,6,NA,NA,2020-01-22
Fujian,Mainland China,1,NA,NA,2020-01-22
Gansu,Mainland China,NA,NA,NA,2020-01-22
Guangdong,Mainland China,26,NA,NA,2020-01-22
Guangxi,Mainland China,2,NA,NA,2020-01-22
Guizhou,Mainland China,1,NA,NA,2020-01-22
Hainan,Mainland China,4,NA,NA,2020-01-22
Hebei,Mainland China,1,NA,NA,2020-01-22
Heilongjiang,Mainland China,NA,NA,NA,2020-01-22
Henan,Mainland China,5,NA,NA,2020-01-22
Hong Kong,Hong Kong,NA,NA,NA,2020-01-22
Hubei,Mainland China,444,17,28,2020-01-22
Hunan,Mainland China,4,NA,NA,2020-01-22
Inner Mongolia,Mainland China,NA,NA,NA,2020-01-22
Jiangsu,Mainland China,1,NA,NA,2020-01-22
Jiangxi,Mainland China,2,NA,NA,2020-01-22
Jilin,Mainland China,NA,NA,NA,2020-01-22
Liaoning,Mainland China,2,NA,NA,2020-01-22
Macau,Macau,1,NA,NA,2020-01-22
Ningxia,Mainland China,1,NA,NA,2020-01-22
Qinghai,Mainland China,NA,NA,NA,2020-01-22
Shaanxi,Mainland China,NA,NA,NA,2020-01-22
Shandong,Mainland China,2,NA,NA,2020-01-22
Shanghai,Mainland China,9,NA,NA,2020-01-22
Shanxi,Mainland China,1,NA,NA,2020-01-22
Sichuan,Mainland China,5,NA,NA,2020-01-22
Taiwan,Taiwan,1,NA,NA,2020-01-22
Tianjin,Mainland China,4,NA,NA,2020-01-22
Tibet,Mainland China,NA,NA,NA,2020-01-22
Washington,US,1,NA,NA,2020-01-22
Xinjiang,Mainland China,NA,NA,NA,2020-01-22
Yunnan,Mainland China,1,NA,NA,2020-01-22
Zhejiang,Mainland China,10,NA,NA,2020-01-22
NA,Japan,2,NA,NA,2020-01-22
NA,Thailand,2,NA,NA,2020-01-22
NA,South Korea,1,NA,NA,2020-01-22
Anhui,Mainland China,9,NA,NA,2020-01-23
Beijing,Mainland China,22,NA,NA,2020-01-23
Chongqing,Mainland China,9,NA,NA,2020-01-23
Fujian,Mainland China,5,NA,NA,2020-01-23
Gansu,Mainland China,2,NA,NA,2020-01-23
Guangdong,Mainland China,32,NA,2,2020-01-23
Guangxi,Mainland China,5,NA,NA,2020-01-23
Guizhou,Mainland China,3,NA,NA,2020-01-23
Hainan,Mainland China,5,NA,NA,2020-01-23
Hebei,Mainland China,1,1,NA,2020-01-23
Heilongjiang,Mainland China,2,NA,NA,2020-01-23
Henan,Mainland China,5,NA,NA,2020-01-23
Hong Kong,Hong Kong,2,NA,NA,2020-01-23
Hubei,Mainland China,444,17,28,2020-01-23
Hunan,Mainland China,9,NA,NA,2020-01-23
Inner Mongolia,Mainland China,NA,NA,NA,2020-01-23
Jiangsu,Mainland China,5,NA,NA,2020-01-23
Jiangxi,Mainland China,7,NA,NA,2020-01-23
Jilin,Mainland China,1,NA,NA,2020-01-23
Liaoning,Mainland China,3,NA,NA,2020-01-23
Macau,Macau,2,NA,NA,2020-01-23
Ningxia,Mainland China,1,NA,NA,2020-01-23
Qinghai,Mainland China,NA,NA,NA,2020-01-23
Shaanxi,Mainland China,3,NA,NA,2020-01-23
Shandong,Mainland China,6,NA,NA,2020-01-23
Shanghai,Mainland China,16,NA,NA,2020-01-23
Shanxi,Mainland China,1,NA,NA,2020-01-23
Sichuan,Mainland China,8,NA,NA,2020-01-23
Taiwan,Taiwan,1,NA,NA,2020-01-23
Tianjin,Mainland China,4,NA,NA,2020-01-23
Tibet,Mainland China,NA,NA,NA,2020-01-23
Washington,US,1,NA,NA,2020-01-23
Xinjiang,Mainland China,2,NA,NA,2020-01-23
Yunnan,Mainland China,2,NA,NA,2020-01-23
Zhejiang,Mainland China,27,NA,NA,2020-01-23
NA,Japan,1,NA,NA,2020-01-23
NA,Thailand,3,NA,NA,2020-01-23
NA,South Korea,1,NA,NA,2020-01-23
NA,Singapore,1,NA,NA,2020-01-23
NA,Philippines,NA,NA,NA,2020-01-23
NA,Malaysia,NA,NA,NA,2020-01-23
NA,Vietnam,2,NA,NA,2020-01-23
NA,Australia,NA,NA,NA,2020-01-23
NA,Mexico,NA,NA,NA,2020-01-23
NA,Brazil,NA,NA,NA,2020-01-23
NA,Colombia,NA,NA,NA,2020-01-23
Hubei,Mainland China,549,24,31,2020-01-24
Guangdong,Mainland China,53,NA,2,2020-01-24
Zhejiang,Mainland China,43,NA,1,2020-01-24
Beijing,Mainland China,36,NA,1,2020-01-24
Chongqing,Mainland China,27,NA,NA,2020-01-24
Hunan,Mainland China,24,NA,NA,2020-01-24
Guangxi,Mainland China,23,NA,NA,2020-01-24
Shanghai,Mainland China,20,NA,1,2020-01-24
Jiangxi,Mainland China,18,NA,NA,2020-01-24
Sichuan,Mainland China,15,NA,NA,2020-01-24
Shandong,Mainland China,15,NA,NA,2020-01-24
Anhui,Mainland China,15,NA,NA,2020-01-24
Fujian,Mainland China,10,NA,NA,2020-01-24
Henan,Mainland China,9,NA,NA,2020-01-24
Jiangsu,Mainland China,9,NA,NA,2020-01-24
Hainan,Mainland China,8,NA,NA,2020-01-24
Tianjin,Mainland China,8,NA,NA,2020-01-24
Yunnan,Mainland China,5,NA,NA,2020-01-24
Shaanxi,Mainland China,5,NA,NA,2020-01-24
Heilongjiang,Mainland China,4,1,NA,2020-01-24
Liaoning,Mainland China,4,NA,NA,2020-01-24
Guizhou,Mainland China,3,NA,NA,2020-01-24
Jilin,Mainland China,3,NA,NA,2020-01-24
Taiwan,Taiwan,3,NA,NA,2020-01-24
Ningxia,Mainland China,2,NA,NA,2020-01-24
Hong Kong,Hong Kong,2,NA,NA,2020-01-24
Macau,Macau,2,NA,NA,2020-01-24
Hebei,Mainland China,2,1,NA,2020-01-24
